url,category_code,category_description,date_added,source,notes
http://gateway.ipfs.io,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://cat.referendum.barcelona,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://referendum.enricpineda.cat,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.legal,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.party,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.ninja,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.love,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.fyi,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.rip,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
http://www.referendum.soy,POLR,Political Criticism,2017-09-25,user contribution,referendum in Catalonia
