url,category_code,category_description,date_added,source,notes
http://www.agriyork.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.ukcia.org,ALDR,Alcohol & Drugs,19/10/17,,
http://ukcia.org,ALDR,Alcohol & Drugs,19/10/17,,
http://www.drug-box.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.illicitdrugs.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.uk420.com/boards/index.php?act=home,ALDR,Alcohol & Drugs,19/10/17,,
http://www.marijuana-anonymous.com,ALDR,Alcohol & Drugs,19/10/17,,
http://psypressuk.com,ALDR,Alcohol & Drugs,19/10/17,,
http://www.rehabcentre.co.uk,ALDR,Alcohol & Drugs,19/10/17,,
http://www.streetdrugs.org,ALDR,Alcohol & Drugs,19/10/17,,
