url,category_code,category_description,date_added,source,notes
http://www.oovoo.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.jewwatch.com,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://timesofindia.indiatimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.proxyweb.net,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.islaminstitut.de/en/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://bridges.torproject.org,ANON,Anonymization and circumvention tools,2017-05-31,ADEF,blocked in Egypt as of 2017-05-27
http://laborrights.org/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.arabtimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://common-fund.org/,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://carnegieendowment.org/,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.truthnet.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.askmoses.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://webmail.sso.bluewin.ch,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.worldjewishcongress.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.transferbigfiles.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.sportsinteraction.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.un.org/rights/,IGO,Intergovernmental Organizations,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.om.org/,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.pof.com,DATE,Online Dating,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://imesh.com/,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.aseansec.org,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://bebo.com/,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://mail.yandex.ru,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.eluniversal.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://foursquare.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.twistedinternet.com,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.navy.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.sportingbet.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.gmx.com/,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://www.hotspotshield.com/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
https://spideroak.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://jainworld.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.osce.org,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://twitter.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.friendster.com,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://sierraclub.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.gatesfoundation.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.cyber-pirates.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.wix.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://go.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.casinotropez.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://mp3.com/,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://proxy.org/,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://twilight.ws,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://moqavemat.ir,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.earthwatch.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.washingtontimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://telecomix.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://www.peacefire.org/circumventor/simple-circumventor-instructions.html,ANON,Anonymization and circumvention tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
http://justicewomen.com/,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14
